pt,family,spp,spp_id,dist,counts,elev
231,Cisticolidae,Cisticola chubbi,3,3,2,2344
231,Cisticolidae,Oreolais ruwenzori,4,3,1,2344
232,Cisticolidae,Cisticola chubbi,3,2,2,2356
232,Cisticolidae,Oreolais ruwenzori,4,1,2,2356
233,Cisticolidae,Cisticola chubbi,3,4,2,2379
234,Cisticolidae,Cisticola chubbi,3,3,2,2395
234,Cisticolidae,Prinia bairdii,5,2,2,2395
235,Cisticolidae,Cisticola chubbi,3,3,2,2396
235,Cisticolidae,Oreolais ruwenzori,4,3,1,2396
236,Cisticolidae,Apalis porphyrolaema,2,3,1,2181
236,Cisticolidae,Cisticola chubbi,3,3,2,2181
236,Cisticolidae,Oreolais ruwenzori,4,1,1,2181
237,Cisticolidae,Cisticola chubbi,3,4,2,2209
237,Cisticolidae,Oreolais ruwenzori,4,2,1,2209
238,Cisticolidae,Oreolais ruwenzori,4,3,1,2159
239,Cisticolidae,Prinia bairdii,5,2,2,2221
240,Cisticolidae,Apalis personata,1,4,2,2237
240,Cisticolidae,Apalis porphyrolaema,2,4,1,2237
240,Cisticolidae,Cisticola chubbi,3,2,2,2237
240,Cisticolidae,Oreolais ruwenzori,4,4,1,2237
241,Cisticolidae,Apalis personata,1,2,1,2250
242,Cisticolidae,Apalis personata,1,2,1,2272
242,Cisticolidae,Cisticola chubbi,3,4,2,2272
243,Cisticolidae,Apalis personata,1,3,2,2289
243,Cisticolidae,Oreolais ruwenzori,4,3,1,2289
244,Cisticolidae,Apalis porphyrolaema,2,4,1,2302
244,Cisticolidae,Cisticola chubbi,3,2,2,2302
244,Cisticolidae,Oreolais ruwenzori,4,3,1,2302
245,Cisticolidae,Prinia bairdii,5,2,1,2188
246,Cisticolidae,Apalis personata,1,4,1,2318
246,Cisticolidae,Apalis porphyrolaema,2,4,1,2318
246,Cisticolidae,Cisticola chubbi,3,3,2,2318
247,Cisticolidae,Cisticola chubbi,3,3,2,2331
247,Cisticolidae,Oreolais ruwenzori,4,4,1,2331
249,Cisticolidae,Apalis porphyrolaema,2,4,1,2366
249,Cisticolidae,Oreolais ruwenzori,4,3,1,2366
250,Cisticolidae,Apalis porphyrolaema,2,3,2,2395
250,Cisticolidae,Cisticola chubbi,3,1,2,2395
